trial,landing_x,landing_y,landing_error,gps_loss,failsafe,gps_loss_periods,drift_ratio,drift_ratio_pass,outbound_drift,return_drift,mean_cruise_speed,speed_consistency,gust_events,altitude_hold_pass,altitude_compliance,max_altitude_deviation,battery_efficiency,energy_per_km,total_distance
00_02_30_csv,0.061502498,0.02477636,0.06630554482914384,0,0,[],0.4128761172675155,True,94.78531994860813,39.13459487434051,15.334825391434874,0.9069926425716792,0,True,1.0,1.655679344338978,11074.660326786168,-0.3717044941003897,2231.2686290450865
00_06_06_csv,27.23187,-58.1246,64.1875678683723,1,0,"[(113.92399999999999, 213.39999999999998)]",0.3524956291771056,True,94.49299164395951,33.30836654236449,15.291819872341243,0.9033585353316309,0,True,1.0,1.9561908303446387,12856.410748185237,-0.39701076126442564,2258.775588196073
00_09_55_csv,26.550236,-58.257767,64.02251516054321,1,0,"[(113.568, 213.808)]",0.36152433020708763,True,94.69992292433896,34.23632620588447,15.292478796345833,0.9038176807815184,0,True,1.0,1.972049023512966,11573.396284735401,-0.397104600416057,2259.4355015253027
00_13_43_csv,22.22951,-54.96088,59.28616571523664,1,0,"[(124.08, 212.892)]",0.38196547957348875,True,93.99676321715208,35.90351874059516,15.29596926777726,0.9033411810987162,0,True,1.0,1.9452604952818149,12968.529177245635,-0.39664086614896654,2254.504876847844
00_17_30_csv,0.04213213,0.021053184,0.047099394209212025,0,0,[],0.3447266385345028,True,94.250324375539,32.49059750276607,15.318605508116777,0.9065898781114481,0,True,1.0,1.7042611458648764,11291.845148496326,-0.3722167976826708,2227.7511915791183
00_20_59_csv,0.07363835,-0.02031462,0.07638907236291655,1,0,"[(100.32, 192.172)]",0.37056515330446704,True,95.26751534222151,35.30282142772598,15.342302393339805,0.9030095612632908,0,True,1.0,2.087353683235378,10791.872526396974,-0.39361366059283537,2267.394756972134
00_24_41_csv,60.33734,63.657978,87.70936529997286,1,0,"[(22.612, 24.651999999999997), (27.58, 210.076)]",13.470112569069249,False,2.03674947407497,27.435244690782433,15.207043778675313,0.8987579901297272,0,True,0.8734947559238638,10.569455894859516,12004.074610651198,-0.3920344776271777,2246.9172837881174
23_30_48_csv,0.005433365,-0.0051026163,0.0074537338514499354,0,0,[],1.279521987933571,True,30.54550162581408,39.083640962689756,15.17323531286714,0.8712856690526742,0,True,0.3024082116067904,15.60929870568495,7171.6566950671795,-0.4608354811620061,1260.0066524809256
23_33_24_csv,0.046531223,-0.048234157,0.06702006129045525,0,0,[],1.292954579402285,True,30.836149728607992,39.86974100273823,15.199854338665334,0.8716426107174435,0,True,0.3791208791208791,14.67873141717542,6070.734741695601,-0.4456523878058346,1262.1871006440542
23_35_53_csv,0.05140923,-0.014624297,0.05344884462677476,0,0,[],1.2949091967751358,True,30.814241853365427,39.9016451675762,15.185979943633805,0.8716108532957417,0,True,0.3315282791817088,15.128462946450057,6658.845995869292,-0.4534137133762996,1259.5959650784305
23_38_26_csv,0.08226034,-0.018982703,0.0844221922843858,0,0,[],0.18373118215753279,True,132.76495473437353,24.39306208243778,15.38129475092712,0.922141668423412,0,True,1.0,0.6343604837578596,17865.55219570454,-0.3408356599799174,3239.9303965775566
23_43_24_csv,0.063454315,-0.041659866,0.07590780280878363,0,0,[],0.14926568289910946,True,140.12465779987772,20.915802737502773,15.345458201298603,0.9232439465369868,0,True,1.0,0.749890072367748,15651.075223396221,-0.34151690992688033,3220.1414275903126
23_49_23_csv,-0.0014207985,-0.03248705,0.03251810397424952,0,0,[],0.19974570816327045,True,152.03233163429204,30.367805746004848,15.375162605697724,0.9226459415556101,0,True,1.0,0.2973392197309437,18283.23121099871,-0.3486835621038765,3280.8389954654663
23_54_19_csv,-0.002443888,-0.064506315,0.06455259300319212,0,0,[],0.416558996693596,True,93.80711711923117,39.07619858990559,15.289211581946958,0.9055288187712967,0,True,1.0,1.7996014323668277,12261.97837110436,-0.3808457892499773,2223.7183609846365
23_58_34_csv,-0.055990394,-0.094794415,0.11009498324386749,0,0,[],0.4121247050742415,True,96.16529679835838,39.632094581400345,15.333854621720587,0.9071669029731535,0,True,1.0,2.3031326130012246,10522.444345594995,-0.42291244589367194,2234.058460710692
