run_id,t_liftoff_s,t_reach_5m_s,t_hover_stable_s,t_touchdown_s,landing_error_m,peak_horiz_speed_mps,peak_total_speed_mps,peak_overshoot_m,vvert_at_0.2m_mps
02_05_14,0.0,18.648,67.132,78.644,0.04597740726508401,10.215703766206685,10.585183209305844,15.138794,0.008650401
02_06_48,0.0,20.784,69.152,84.656,0.13586280558383446,10.228305066909112,10.597744722383096,15.177185000000001,0.0049159066
02_08_26,0.0,16.824,65.392,80.84,0.014832152890442103,10.214219957292675,10.581371797106417,15.167358,0.0069727646
02_10_00,0.0,18.096,66.4,82.032,0.11810178112923192,10.212314484772838,10.577593153755247,15.171692,0.007996274
02_11_34,0.0,16.968,65.32,76.952,0.06952419627280666,10.227238181249795,10.594709094977512,15.145171999999999,-0.0006265233
