file,landing_offset_m,cte_rms_m,cte_max_m,alt_rms10_m,alt_rms20_m,alt_rms15_m,vel_xy_rms_mps,vel_z_rms_mps,max_tilt_deg,ctrl_sat_pct,wind_mean_mps,wind_std_mps,innov_rms,flight_time_s,batt_drop_pct
logs/2025-05-31_TC001_square/20_36_51.ulg,0.12,0.41,2.54,10.0,19.97,14.99,,,47.5,,,,,99,0.0
logs/2025-05-31_TC001_square/20_39_36.ulg,0.08,0.48,2.54,10.01,19.99,5.1,,,47.6,,,,,78,0.0
logs/2025-05-31_TC001_square/20_41_15.ulg,0.11,0.48,2.6,10.0,19.98,6.37,,,47.6,,,,,79,0.0
logs/2025-05-31_TC001_square/20_42_59.ulg,0.06,0.47,2.57,10.0,19.97,14.84,,,47.5,,,,,84,0.0
logs/2025-05-31_TC001_square/20_44_50.ulg,0.07,0.48,2.55,10.0,19.97,5.72,,,47.4,,,,,79,0.0
